BLOCK,TYPE,TRACK,OFFSET,AREA
67,unmanaged,187,47,2.95269
67,managed,188,47,1.33186
68,unmanaged,189,57,4.87908
68,managed,190,57,14.1547
69,unmanaged,191,47,0.627
69,managed,192,47,8.3301
70,unmanaged,197,127,0.81655
70,managed,198,127,0.168092
71,unmanaged,204,127,0.161653
71,managed,205,127,2.14768
72,unmanaged,207,101,5.1832
72,managed,208,101,5.7698
73,unmanaged,92,261,0.07858
73,managed,93,261,1.04399
74,unmanaged,214,57,3.29298
74,managed,215,57,1.43792
75,unmanaged,105,47,1.07786
75,managed,23,47,14.3201
76,unmanaged,111,237,0.272319
76,managed,112,237,3.61796
77,unmanaged,8,57,0.34872
77,managed,9,57,4.63299
78,unmanaged,216,47,4.72816
78,managed,217,47,1.03067
79,unmanaged,204,177,0.299094
79,managed,205,177,3.97367
80,unmanaged,218,127,2.30058
80,managed,219,127,0.063042
81,unmanaged,225,307,1.4213
81,managed,226,307,1.61763
82,unmanaged,232,57,2.22361
82,managed,206,57,29.5422
83,unmanaged,233,77,0.205279
83,managed,234,77,1.72749
84,unmanaged,236,57,2.08925
84,managed,237,57,2.03992
85,unmanaged,238,57,0.081796
85,managed,239,57,1.06321
86,unmanaged,240,97,0.430605
86,managed,241,97,1.63353
87,unmanaged,243,57,1.98153
87,managed,244,57,9.7982
88,unmanaged,66,307,2.80289
89,unmanaged,245,107,4.71587
89,managed,246,107,2.84699
90,unmanaged,8,57,0.53656
90,managed,9,57,7.1285
91,unmanaged,248,47,2.12863
91,managed,249,47,5.383
92,unmanaged,254,237,1.95154
92,managed,255,237,1.09178
93,unmanaged,21,237,0.21429
93,managed,22,237,2.847
94,unmanaged,257,307,2.29912
94,managed,258,307,4.25236
95,unmanaged,8,57,0.374262
95,managed,9,57,4.97234
96,unmanaged,264,47,9.5333
96,managed,265,47,15.1892
97,unmanaged,8,57,0.188309
97,managed,9,57,2.50182
98,unmanaged,267,237,5.1595
98,managed,268,237,0.90934
99,unmanaged,270,107,0.450998
99,managed,271,107,1.22314
100,unmanaged,66,357,11.0588
101,unmanaged,273,47,7.5603
101,managed,274,47,12.7759
102,unmanaged,279,47,3.38267
102,managed,280,47,16.1963
103,unmanaged,281,237,1.83197
103,managed,282,237,1.87527
104,unmanaged,177,237,10.685
105,unmanaged,288,57,4.17877
105,managed,289,57,0.156222
106,unmanaged,21,65,1.23199
106,managed,22,65,16.3679
107,unmanaged,290,357,0.480451
107,managed,291,357,2.28497
108,unmanaged,8,47,1.97262
108,managed,9,47,26.2076
109,unmanaged,297,57,3.51186
109,managed,298,57,30.3438
110,unmanaged,299,67,4.71206
110,managed,300,67,2.44835
111,unmanaged,302,307,6.7735
111,managed,303,307,0.9265
112,unmanaged,309,47,0.72912
112,managed,310,47,5.4514
113,unmanaged,3,47,2.86285
113,managed,4,47,38.035
114,unmanaged,28,47,0.336881
114,managed,29,47,4.4757
115,unmanaged,105,37,1.76511
115,managed,23,37,23.4507
116,unmanaged,311,107,1.8805
116,managed,312,107,2.53005
117,unmanaged,314,307,3.32054
117,managed,315,307,2.66306
118,unmanaged,317,277,2.65279
118,managed,318,277,0.116097
119,unmanaged,324,57,1.26021
119,managed,325,57,3.54653
120,unmanaged,326,57,2.24132
120,managed,327,57,27.3625
121,unmanaged,332,57,1.53978
121,managed,333,57,0.184409
122,unmanaged,334,127,2.80075
122,managed,335,127,0.346323
123,unmanaged,8,47,0.189711
123,managed,9,47,2.52045
124,unmanaged,337,457,1.11196
124,managed,338,457,6.1845
125,unmanaged,344,107,0.456125
125,managed,345,107,0.60937
126,unmanaged,232,47,0.261979
126,managed,206,47,3.48057
127,unmanaged,347,47,1.11044
127,managed,348,47,5.6953
128,unmanaged,350,57,2.78167
128,managed,351,57,2.47679
129,unmanaged,352,127,5.5022
129,managed,353,127,6.998
130,unmanaged,92,197,0.66725
130,managed,93,197,8.8649
131,unmanaged,359,237,0.179301
131,managed,360,237,1.49724
132,unmanaged,362,107,0.99567
132,managed,363,107,2.12196
133,unmanaged,365,57,4.39147
133,managed,366,57,1.6157
134,unmanaged,28,47,0.246357
134,managed,29,47,3.27303
135,unmanaged,367,57,4.6883
135,managed,368,57,3.37281
136,unmanaged,3,57,0.97032
136,managed,4,57,12.8914
137,unmanaged,370,47,1.62067
137,managed,371,47,4.48216
138,unmanaged,372,57,1.47146
138,managed,373,57,0.5402
139,unmanaged,374,47,1.21877
139,managed,375,47,1.38856
140,unmanaged,380,53,1.16355
140,managed,381,53,2.11921
141,unmanaged,153,57,0.169654
141,managed,154,57,2.25397
142,unmanaged,21,233,0.398737
142,managed,22,233,5.2975
143,unmanaged,66,307,7.1782
144,unmanaged,386,357,0.65579
144,managed,387,357,5.3889
145,unmanaged,393,107,1.62339
145,managed,394,107,4.9574
146,unmanaged,3,57,1.32414
146,managed,4,57,17.5922
147,unmanaged,8,57,0.33489
147,managed,9,57,4.44925
148,unmanaged,8,47,0.207774
148,managed,9,47,2.76043
149,unmanaged,8,47,0.447668
149,managed,9,47,5.9476
150,unmanaged,396,87,0.455034
150,managed,397,87,1.36054
151,unmanaged,8,47,0.173942
151,managed,9,47,2.31095
152,unmanaged,403,47,7.4122
152,managed,404,47,2.26879
153,unmanaged,111,127,1.24765
153,managed,112,127,16.5759
154,unmanaged,405,67,11.7351
154,managed,406,67,12.7668
155,unmanaged,408,127,5.6797
155,managed,409,127,10.6223
156,unmanaged,177,307,15.4116
157,unmanaged,106,357,0.293707
157,managed,107,357,3.90211
158,unmanaged,21,357,1.15268
158,managed,22,357,15.3142
159,unmanaged,411,107,1.27217
159,managed,412,107,16.9016
160,unmanaged,66,277,5.333
161,unmanaged,414,127,1.18335
161,managed,415,127,3.26695
162,unmanaged,417,59,2.16424
162,managed,418,59,15.1002
163,unmanaged,420,57,1.13846
163,managed,421,57,0.243862
164,unmanaged,422,107,0.6856
164,managed,423,107,5.7169
165,unmanaged,92,127,0.51149
165,managed,93,127,6.7956
166,unmanaged,425,47,1.44897
166,managed,426,47,5.0562
167,unmanaged,191,57,0.80338
167,managed,192,57,10.6735
168,unmanaged,431,107,0.8889
168,managed,432,107,4.0484
169,unmanaged,434,57,0.250463
169,managed,435,57,3.32757
170,unmanaged,61,103,1.28207
170,managed,62,103,17.0332
171,unmanaged,436,307,2.23702
171,managed,437,307,0.163158
172,unmanaged,439,247,2.10793
172,managed,440,247,3.02961
173,unmanaged,442,177,2.63822
173,managed,443,177,9.2925
174,unmanaged,21,307,0.341416
174,managed,22,307,4.53596
175,unmanaged,3,57,0.51745
175,managed,4,57,6.8746
176,unmanaged,61,127,0.250709
176,managed,62,127,3.33085
177,unmanaged,445,127,1.22739
177,managed,446,127,1.67296
178,unmanaged,448,57,0.69995
178,managed,449,57,2.83272
179,unmanaged,106,307,0.176063
179,managed,107,307,2.33912
180,unmanaged,153,47,0.339849
180,managed,154,47,4.51513
181,unmanaged,28,57,1.04375
181,managed,29,57,13.867
182,unmanaged,111,127,0.372854
182,managed,112,127,4.95364
183,unmanaged,450,47,2.73107
183,managed,451,47,10.612
184,unmanaged,452,57,1.20174
184,managed,453,57,9.9225
185,unmanaged,105,37,0.0292407
185,managed,23,37,0.388483
186,unmanaged,21,277,0.64759
186,managed,22,277,8.6037
187,unmanaged,454,77,1.31915
187,managed,455,77,2.55563
188,unmanaged,457,47,4.2765
188,managed,458,47,19.0544
189,unmanaged,8,47,0.474485
189,managed,9,47,6.3039
190,unmanaged,434,47,0.11256
190,managed,435,47,1.49543
191,unmanaged,463,57,3.59028
191,managed,464,57,9.6016
192,unmanaged,469,57,1.77956
192,managed,470,57,20.163
193,unmanaged,471,57,3.14452
193,managed,472,57,12.8465
194,unmanaged,21,307,0.385449
194,managed,22,307,5.121
195,unmanaged,473,357,4.0487
195,managed,474,357,1.43356
196,unmanaged,480,67,0.412854
196,managed,481,67,5.4851
197,unmanaged,482,127,4.04866
197,managed,483,127,11.1442
198,unmanaged,485,47,1.84143
198,managed,486,47,0.213239
199,unmanaged,111,157,0.448196
199,managed,112,157,5.9546
200,unmanaged,491,237,1.02617
200,managed,492,237,1.11947
201,unmanaged,21,307,0.130182
201,managed,22,307,1.72956
202,unmanaged,498,57,4.66477
202,managed,499,57,6.0939
203,unmanaged,501,77,0.43893
203,managed,502,77,2.95068
204,unmanaged,504,57,1.35322
204,managed,505,57,7.1461
205,unmanaged,506,107,0.62434
205,managed,507,107,4.6487
206,unmanaged,509,107,0.83824
206,managed,510,107,10.0871
207,unmanaged,8,57,1.15388
207,managed,9,57,15.3301
208,unmanaged,8,47,0.74387
208,managed,9,47,9.8828
209,unmanaged,512,307,0.54103
209,managed,513,307,3.82527
210,unmanaged,515,127,0.487004
210,managed,516,127,6.4702
211,unmanaged,518,127,0.54984
211,managed,519,127,3.07641
212,unmanaged,521,77,3.79175
212,managed,522,77,8.1961
213,unmanaged,528,57,0.54103
213,managed,529,57,3.28982
214,unmanaged,66,357,4.97815
215,unmanaged,21,277,0.647
215,managed,22,277,8.5959
216,unmanaged,530,107,0.370817
216,managed,531,107,0.64038
217,unmanaged,105,57,0.55943
217,managed,23,57,7.4324
218,unmanaged,204,127,0.83962
218,managed,205,127,11.1549
