TARGET,PERIODS,ACTIVE,MINACTIVE,MAXACTIVE,DISCOUNT,LINEAR,PREMULTIPLY
patch.regen.0_max.shape,31,false,false,false,1.0,false,false
patch.regen.0_max.size,31,false,true,true,1.0,false,false
patch.regen.max_plus.area,31,true,false,true,1.0,false,false
patch.regen.max_plus.attractor,31,false,false,false,1.0,false,false
patch.regen.max_plus.blocks,31,false,false,false,1.0,false,false
patch.regen.max_plus.freqpercent,31,false,false,false,1.0,false,false
patch.regen.max_plus.frequency,31,false,false,false,1.0,false,false
patch.regen.max_plus.shape,31,false,false,false,1.0,false,false
patch.regen.max_plus.size,31,false,true,true,1.0,false,false
product.HarvestedVolume.managed.BA.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.CW.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.FDC.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.HW.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.SS.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.Total.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.YC.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_CW_PLC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_CW_YC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_CW_PLC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_CW_YC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
