,curve_id,curve_type
160,985503002006,untreated_species_prop_PL
161,985503002007,untreated_species_prop_PLC
162,985503002008,untreated_species_prop_PW
163,985503002009,untreated_species_prop_SS
164,985503002010,untreated_species_prop_YC
165,985501003,untreated
166,985501003001,untreated_species_prop_BA
167,985501003002,untreated_species_prop_CW
168,985501003003,untreated_species_prop_DR
169,985501003004,untreated_species_prop_FDC
170,985501003005,untreated_species_prop_HW
171,985501003006,untreated_species_prop_PL
172,985501003007,untreated_species_prop_PLC
173,985501003008,untreated_species_prop_PW
174,985501003009,untreated_species_prop_SS
175,985501003010,untreated_species_prop_YC
176,985521003,treated
177,985521003001,treated_species_prop_BA
178,985521003002,treated_species_prop_CW
179,985521003003,treated_species_prop_DR
180,985521003004,treated_species_prop_FDC
181,985521003005,treated_species_prop_HW
182,985521003006,treated_species_prop_PL
183,985521003007,treated_species_prop_PLC
184,985521003008,treated_species_prop_PW
185,985521003009,treated_species_prop_SS
186,985521003010,treated_species_prop_YC
187,985502003,untreated
188,985502003001,untreated_species_prop_BA
189,985502003002,untreated_species_prop_CW
190,985502003003,untreated_species_prop_DR
191,985502003004,untreated_species_prop_FDC
192,985502003005,untreated_species_prop_HW
193,985502003006,untreated_species_prop_PL
194,985502003007,untreated_species_prop_PLC
195,985502003008,untreated_species_prop_PW
196,985502003009,untreated_species_prop_SS
197,985502003010,untreated_species_prop_YC
198,985522003,treated
199,985522003001,treated_species_prop_BA
200,985522003002,treated_species_prop_CW
201,985522003003,treated_species_prop_DR
202,985522003004,treated_species_prop_FDC
203,985522003005,treated_species_prop_HW
204,985522003006,treated_species_prop_PL
205,985522003007,treated_species_prop_PLC
206,985522003008,treated_species_prop_PW
207,985522003009,treated_species_prop_SS
208,985522003010,treated_species_prop_YC
209,985503003,untreated
210,985503003001,untreated_species_prop_BA
211,985503003002,untreated_species_prop_CW
212,985503003003,untreated_species_prop_DR
213,985503003004,untreated_species_prop_FDC
214,985503003005,untreated_species_prop_HW
215,985503003006,untreated_species_prop_PL
216,985503003007,untreated_species_prop_PLC
217,985503003008,untreated_species_prop_PW
218,985503003009,untreated_species_prop_SS
219,985503003010,untreated_species_prop_YC
220,985523003,treated
221,985523003001,treated_species_prop_BA
222,985523003002,treated_species_prop_CW
223,985523003003,treated_species_prop_DR
224,985523003004,treated_species_prop_FDC
225,985523003005,treated_species_prop_HW
226,985523003006,treated_species_prop_PL
227,985523003007,treated_species_prop_PLC
228,985523003008,treated_species_prop_PW
229,985523003009,treated_species_prop_SS
230,985523003010,treated_species_prop_YC
231,985501004,untreated
232,985501004001,untreated_species_prop_BA
233,985501004002,untreated_species_prop_CW
234,985501004003,untreated_species_prop_DR
235,985501004004,untreated_species_prop_FDC
236,985501004005,untreated_species_prop_HW
237,985501004006,untreated_species_prop_PL
238,985501004007,untreated_species_prop_PLC
239,985501004008,untreated_species_prop_PW
240,985501004009,untreated_species_prop_SS
241,985501004010,untreated_species_prop_YC
242,985502004,untreated
243,985502004001,untreated_species_prop_BA
244,985502004002,untreated_species_prop_CW
245,985502004003,untreated_species_prop_DR
246,985502004004,untreated_species_prop_FDC
247,985502004005,untreated_species_prop_HW
248,985502004006,untreated_species_prop_PL
249,985502004007,untreated_species_prop_PLC
250,985502004008,untreated_species_prop_PW
251,985502004009,untreated_species_prop_SS
252,985502004010,untreated_species_prop_YC
253,985522004,treated
254,985522004001,treated_species_prop_BA
255,985522004002,treated_species_prop_CW
256,985522004003,treated_species_prop_DR
257,985522004004,treated_species_prop_FDC
258,985522004005,treated_species_prop_HW
259,985522004006,treated_species_prop_PL
260,985522004007,treated_species_prop_PLC
261,985522004008,treated_species_prop_PW
262,985522004009,treated_species_prop_SS
263,985522004010,treated_species_prop_YC
264,985503004,untreated
265,985503004001,untreated_species_prop_BA
266,985503004002,untreated_species_prop_CW
267,985503004003,untreated_species_prop_DR
268,985503004004,untreated_species_prop_FDC
269,985503004005,untreated_species_prop_HW
270,985503004006,untreated_species_prop_PL
