GROUP,ATTRIBUTE,ACCOUNT,SUM
_MANAGED_,feature.QMD.managed.CWHvm_HW_CW_M,feature.QMD.managed.CWHvm_HW_CW_M,0.0282430399255
_MANAGED_,feature.QMD.managed.CWHvm_HW_FDC_H,feature.QMD.managed.CWHvm_HW_FDC_H,0.00284242169908
_MANAGED_,feature.QMD.managed.CWHvm_HW_FDC_L,feature.QMD.managed.CWHvm_HW_FDC_L,0.0123990005238
_MANAGED_,feature.QMD.managed.CWHvm_HW_SS_M,feature.QMD.managed.CWHvm_HW_SS_M,0.0502980440041
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_CW_HW_M,feature.QMD.unmanaged.CWHvm_CW_HW_M,0.00557116597114
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_CW_PLC_M,feature.QMD.unmanaged.CWHvm_CW_PLC_M,0.030796402492
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_CW_YC_M,feature.QMD.unmanaged.CWHvm_CW_YC_M,0.0243025165065
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_DR_HW_M,feature.QMD.unmanaged.CWHvm_DR_HW_M,0.0322873558606
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_FDC_HW_H,feature.QMD.unmanaged.CWHvm_FDC_HW_H,0.0167232990452
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_FDC_HW_L,feature.QMD.unmanaged.CWHvm_FDC_HW_L,0.0411042205541
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_FDC_HW_M,feature.QMD.unmanaged.CWHvm_FDC_HW_M,0.021952255957
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_HW_BA_M,feature.QMD.unmanaged.CWHvm_HW_BA_M,0.285423966416
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_HW_CW_H,feature.QMD.unmanaged.CWHvm_HW_CW_H,0.0725158883498
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_HW_CW_L,feature.QMD.unmanaged.CWHvm_HW_CW_L,0.0266033872206
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_HW_CW_M,feature.QMD.unmanaged.CWHvm_HW_CW_M,0.0667501063579
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_HW_FDC_H,feature.QMD.unmanaged.CWHvm_HW_FDC_H,0.0176299542167
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_HW_FDC_L,feature.QMD.unmanaged.CWHvm_HW_FDC_L,0.013762321215
_UNMANAGED_,feature.QMD.unmanaged.CWHvm_HW_SS_M,feature.QMD.unmanaged.CWHvm_HW_SS_M,0.101973411893
_ALL_,feature.Seral.CWHvm_CW_HW_M.immature,feature.Seral.CWHvm_CW_HW_M.immature,1
_ALL_,feature.Seral.CWHvm_CW_HW_M.mature,feature.Seral.CWHvm_CW_HW_M.mature,1
_ALL_,feature.Seral.CWHvm_CW_HW_M.overmature,feature.Seral.CWHvm_CW_HW_M.overmature,1
_ALL_,feature.Seral.CWHvm_CW_HW_M.regenerating,feature.Seral.CWHvm_CW_HW_M.regenerating,1
_ALL_,feature.Seral.CWHvm_CW_HW_M.young,feature.Seral.CWHvm_CW_HW_M.young,1
_UNMANAGED_,feature.Seral.CWHvm_CW_PLC_M.immature,feature.Seral.CWHvm_CW_PLC_M.immature,1
_UNMANAGED_,feature.Seral.CWHvm_CW_PLC_M.mature,feature.Seral.CWHvm_CW_PLC_M.mature,1
_UNMANAGED_,feature.Seral.CWHvm_CW_PLC_M.overmature,feature.Seral.CWHvm_CW_PLC_M.overmature,1
_UNMANAGED_,feature.Seral.CWHvm_CW_PLC_M.regenerating,feature.Seral.CWHvm_CW_PLC_M.regenerating,1
_UNMANAGED_,feature.Seral.CWHvm_CW_PLC_M.young,feature.Seral.CWHvm_CW_PLC_M.young,1
_UNMANAGED_,feature.Seral.CWHvm_CW_YC_M.immature,feature.Seral.CWHvm_CW_YC_M.immature,1
_UNMANAGED_,feature.Seral.CWHvm_CW_YC_M.mature,feature.Seral.CWHvm_CW_YC_M.mature,1
_UNMANAGED_,feature.Seral.CWHvm_CW_YC_M.overmature,feature.Seral.CWHvm_CW_YC_M.overmature,1
_UNMANAGED_,feature.Seral.CWHvm_CW_YC_M.regenerating,feature.Seral.CWHvm_CW_YC_M.regenerating,1
_UNMANAGED_,feature.Seral.CWHvm_CW_YC_M.young,feature.Seral.CWHvm_CW_YC_M.young,1
_ALL_,feature.Seral.CWHvm_DR_HW_M.immature,feature.Seral.CWHvm_DR_HW_M.immature,1
_ALL_,feature.Seral.CWHvm_DR_HW_M.mature,feature.Seral.CWHvm_DR_HW_M.mature,1
_ALL_,feature.Seral.CWHvm_DR_HW_M.overmature,feature.Seral.CWHvm_DR_HW_M.overmature,1
_ALL_,feature.Seral.CWHvm_DR_HW_M.regenerating,feature.Seral.CWHvm_DR_HW_M.regenerating,1
_ALL_,feature.Seral.CWHvm_DR_HW_M.young,feature.Seral.CWHvm_DR_HW_M.young,1
_ALL_,feature.Seral.CWHvm_FDC_HW_H.immature,feature.Seral.CWHvm_FDC_HW_H.immature,1
_ALL_,feature.Seral.CWHvm_FDC_HW_H.mature,feature.Seral.CWHvm_FDC_HW_H.mature,1
_ALL_,feature.Seral.CWHvm_FDC_HW_H.overmature,feature.Seral.CWHvm_FDC_HW_H.overmature,1
_ALL_,feature.Seral.CWHvm_FDC_HW_H.regenerating,feature.Seral.CWHvm_FDC_HW_H.regenerating,1
_ALL_,feature.Seral.CWHvm_FDC_HW_H.young,feature.Seral.CWHvm_FDC_HW_H.young,1
_ALL_,feature.Seral.CWHvm_FDC_HW_L.immature,feature.Seral.CWHvm_FDC_HW_L.immature,1
_ALL_,feature.Seral.CWHvm_FDC_HW_L.mature,feature.Seral.CWHvm_FDC_HW_L.mature,1
_ALL_,feature.Seral.CWHvm_FDC_HW_L.overmature,feature.Seral.CWHvm_FDC_HW_L.overmature,1
_ALL_,feature.Seral.CWHvm_FDC_HW_L.regenerating,feature.Seral.CWHvm_FDC_HW_L.regenerating,1
_ALL_,feature.Seral.CWHvm_FDC_HW_L.young,feature.Seral.CWHvm_FDC_HW_L.young,1
_ALL_,feature.Seral.CWHvm_FDC_HW_M.immature,feature.Seral.CWHvm_FDC_HW_M.immature,1
_ALL_,feature.Seral.CWHvm_FDC_HW_M.mature,feature.Seral.CWHvm_FDC_HW_M.mature,1
_ALL_,feature.Seral.CWHvm_FDC_HW_M.overmature,feature.Seral.CWHvm_FDC_HW_M.overmature,1
_ALL_,feature.Seral.CWHvm_FDC_HW_M.regenerating,feature.Seral.CWHvm_FDC_HW_M.regenerating,1
_ALL_,feature.Seral.CWHvm_FDC_HW_M.young,feature.Seral.CWHvm_FDC_HW_M.young,1
_ALL_,feature.Seral.CWHvm_HW_BA_M.immature,feature.Seral.CWHvm_HW_BA_M.immature,1
_ALL_,feature.Seral.CWHvm_HW_BA_M.mature,feature.Seral.CWHvm_HW_BA_M.mature,1
_ALL_,feature.Seral.CWHvm_HW_BA_M.overmature,feature.Seral.CWHvm_HW_BA_M.overmature,1
_ALL_,feature.Seral.CWHvm_HW_BA_M.regenerating,feature.Seral.CWHvm_HW_BA_M.regenerating,1
_ALL_,feature.Seral.CWHvm_HW_BA_M.young,feature.Seral.CWHvm_HW_BA_M.young,1
