TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
309,70,756,CC,false,309,A,0,0,,0,
309,10,10,PCT,false,310,R,0,0,,0,
310,70,756,CC,false,309,A,0,0,,0,
312,80,756,CC,false,313,A,0,0,,0,
313,80,756,CC,false,313,A,0,0,,0,
315,80,756,CC,false,315,A,0,0,,0,
317,70,756,CC,false,317,A,0,0,,0,
317,10,10,PCT,false,318,R,0,0,,0,
318,70,756,CC,false,317,A,0,0,,0,
320,70,756,CC,false,320,A,0,0,,0,
320,10,10,PCT,false,321,R,0,0,,0,
321,70,756,CC,false,320,A,0,0,,0,
323,70,756,CC,false,323,A,0,0,,0,
323,10,10,PCT,false,324,R,0,0,,0,
324,70,756,CC,false,323,A,0,0,,0,
326,70,756,CC,false,46,A,0,0,,0,
328,70,756,CC,false,329,A,0,0,,0,
329,70,756,CC,false,329,A,0,0,,0,
329,10,10,PCT,false,330,R,0,0,,0,
330,70,756,CC,false,329,A,0,0,,0,
332,90,756,CC,false,332,A,0,0,,0,
334,70,756,CC,false,334,A,0,0,,0,
334,10,10,PCT,false,335,R,0,0,,0,
335,70,756,CC,false,334,A,0,0,,0,
337,80,756,CC,false,337,A,0,0,,0,
340,90,756,CC,false,341,A,0,0,,0,
341,90,756,CC,false,341,A,0,0,,0,
343,80,756,CC,false,344,A,0,0,,0,
344,80,756,CC,false,344,A,0,0,,0,
346,70,756,CC,false,347,A,0,0,,0,
347,70,756,CC,false,347,A,0,0,,0,
347,10,10,PCT,false,348,R,0,0,,0,
348,70,756,CC,false,347,A,0,0,,0,
350,70,756,CC,false,350,A,0,0,,0,
350,10,10,PCT,false,351,R,0,0,,0,
351,70,756,CC,false,350,A,0,0,,0,
